School_code,Attendance,Enrollment,New_student,Withdrawals,African_American,White,Asian,Latino,Other,Pacific_Islander,Low_income_family,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME,Drugs,Morals,Assaults,Weapons,Thefts,Total_suspensions,One_suspension,Two_suspensions,Three_suspensions,Three_plus_suspensions,Teacher_attendance,Special_education,Gifted_education,English_second_language,Average_salary
7350,94.52,979,123.4,68.8,60.76,1.66,18.24,14.1,5.24,0,81.34,JAMES R. LOWELL SCHOOL,"LOWELL, JAMES R. SCHOOL",450 W. NEDRO AVE.,19120,NA,PHILADELPHIA,PA,2152765272,0,4,www.philasd.org/schools/lowell,ELEMENTARY SCHOOL,0.25,1.5,9.25,2.75,0.5,70.75,51,11.25,5,3.5,93.675,7.86,1.58,23.34,66211.45652
7360,92,411.6,72.8,59,56.44,8.38,0.16,28.92,6.08,0,91.02,JOHN MARSHALL SCHOOL,"MARSHALL, JOHN SCHOOL",4500 GRISCOM ST.,19124,NA,PHILADELPHIA,PA,2155372521,0,5,www.philasd.org/schools/marshall,ELEMENTARY SCHOOL,0.75,0.25,4.25,1.5,0,33,20.5,5.75,3,3.75,90.15,21.28,0.28,5.5,67701.19048
7370,94.24,761,52.2,45,68.32,1.94,14.5,13.42,1.76,0,80.2,GROVER WASHINGTON JR. MIDDLE,"WASHINGTON, GROVER JR. MIDDLE",201 E. OLNEY AVE.,19120,NA,PHILADELPHIA,PA,2154560422,5,8,www.philasd.org/schools/grover,MIDDLE SCHOOL,0.5,1,20.25,4.25,1,140.25,81.75,28.25,14,16.25,94.25,18.6,2.6,10.44,76311.42308
7380,93.04,493.6,87.6,48.2,34.76,0.66,0.04,61.46,3,0,93.5,ALEXANDER MCCLURE SCHOOL,"MC CLURE, ALEXANDER K. SCHOOL",600 W. HUNTING PARK AVE.,19140,NA,PHILADELPHIA,PA,2154563001,0,5,www.philasd.org/schools/mcclure,ELEMENTARY SCHOOL,0.5,1.25,8.5,2,0,35.5,24.75,6,2.75,2,92.975,11.4,1.64,20.1,68841.88889
7390,93.5,715,92,68,60.68,0.9,7.34,28.9,2.22,0,89.44,ANDREW J. MORRISON SCHOOL,"MORRISON, ANDREW J. SCHOOL",5100 N. 3RD ST.,19120,NA,PHILADELPHIA,PA,2154563004,0,8,www.philasd.org/schools/morrison,ELEMENTARY SCHOOL,1.25,1.5,12.75,2,1,89,54.75,18.75,8.75,6.75,92.025,12.22,1.28,11.34,66459.91892
7400,94.82,809.8,90.8,64,51,1.38,15.82,27.48,4.3,0,85.8,OLNEY ELEMENTARY SCHOOL,OLNEY ELEMENTARY SCHOOL,5301 N. WATER ST.,19120,NA,PHILADELPHIA,PA,2154563003,0,8,www.philasd.org/schools/olney,ELEMENTARY SCHOOL,0.5,0.75,6.75,1.5,0.25,48.25,32,8.75,5,2.5,94.675,9.46,3.82,20.54,74261.21739
7430,92.28,662.2,110.6,71,42.48,19.86,1.28,28,8.3,0,90.38,JAMES J. SULLIVAN SCHOOL,"SULLIVAN, JAMES J. SCHOOL",5300 DITMAN ST.,19124,NA,PHILADELPHIA,PA,2155372524,0,5,www.philasd.org/schools/sullivan,ELEMENTARY SCHOOL,0.25,0.75,9.5,3.25,0,35.5,22.75,6.75,3,3,93.225,12.68,0.12,5.34,69051.38889
7440,93.16,557.6,82,59.6,19.32,0.52,0.6,77.5,2.06,0,92.44,BAYARD TAYLOR SCHOOL,"TAYLOR, BAYARD SCHOOL",3698 N. RANDOLPH ST.,19140,NA,PHILADELPHIA,PA,2152274435,0,5,www.philasd.org/schools/taylor,ELEMENTARY SCHOOL,0,0.25,4,0.75,2,29,21,6,1.75,0.25,94,10.64,1.12,23.08,65155.54054
7460,94.42,522.2,67.2,40.6,53.14,10.06,6,27.4,3.4,0,82.02,WILLIAM H. ZIEGLER SCHOOL,"ZIEGLER, WILLIAM H. SCHOOL",5935 SAUL ST.,19149,NA,PHILADELPHIA,PA,2155372510,0,8,www.philasd.org/schools/ziegler,ELEMENTARY SCHOOL,0.25,0.25,5.5,0.25,0,52.75,35.75,9.5,4.25,3.25,93.825,14.16,2.18,15.62,71374.34615
7470,94.3,428.6,38.8,27.2,1.14,89.7,1.52,4.68,2.98,0,71.6,BRIDESBURG SCHOOL,BRIDESBURG SCHOOL,2824 JENKS ST.,19137,NA,PHILADELPHIA,PA,2155372515,0,5,www.philasd.org/schools/bridesburg,ELEMENTARY SCHOOL,0,0.25,2.5,0.25,0.25,14.25,9.5,3.25,0.75,0.75,93.475,10,1.1,0.28,67726.25
7490,94.84,426.2,47.4,27.8,95.52,0.62,0.1,0.68,3.12,0,85.52,PRINCE HALL SCHOOL,PRINCE HALL,6101-6167 N. GRATZ ST.,19141,NA,PHILADELPHIA,PA,2152765255,0,5,www.philasd.org/schools/princehall,ELEMENTARY SCHOOL,0.5,0.25,5.25,1.75,1,37,27.5,7,2,0.5,94.025,14.66,0.48,0.3,70223.42308
7500,92.74,678.4,55.4,64.4,26.84,3.08,7.44,59.16,3.5,0,89.98,FELTONVILLE ARTS & SCIENCES,FELTONVILLE ARTS & SCIENCES,210 E. COURTLAND ST.,19120,NA,PHILADELPHIA,PA,2154565603,6,8,www.philasd.org/schools/feltonville-arts-and-sciences,MIDDLE SCHOOL,1.25,0.75,11,2.75,0.25,124.5,73.5,28.75,10.75,11.5,92.85,15.82,3.14,16.7,73372.2
7510,92.94,662.2,86.6,72,76.7,0.34,0.38,20.8,1.78,0.02,93.46,MARY BETHUNE SCHOOL,"BETHUNE, MARY MCLEOD SCHOOL",3301 OLD YORK RD.,19140,NA,PHILADELPHIA,PA,2152274433,0,8,www.philasd.org/schools/bethune,ELEMENTARY SCHOOL,0.75,0,5.5,2.75,0.75,40.25,33.5,4.75,0.75,1.25,93.525,12.86,0.18,8.46,64061.76923
7530,95.06,451.6,55.4,34.2,94.86,2.34,0,1.72,1.04,0,86.04,ROWEN SCHOOL,"ROWEN, WILLIAM SCHOOL",6841 N. 19TH ST.,19126,NA,PHILADELPHIA,PA,2152765251,0,5,www.philasd.org/schools/rowen,ELEMENTARY SCHOOL,0,0.5,3,1.5,0,20.75,15.5,4,1,0.25,93.1,12.68,1.38,0.16,68077.92
7730,90.48,661.2,70,77.2,31.18,1.4,0.3,66.78,0.34,0,93.02,ROBERTO CLEMENTE MIDDLE SCHOOL,"CLEMENTE, ROBERTO MIDD. SCHOOL",122 W. ERIE AVE.,19140,NA,PHILADELPHIA,PA,2152915400,6,8,www.philasd.org/schools/clemente,MIDDLE SCHOOL,2.5,0.75,26.5,5.25,0.25,126.75,93.75,23.25,7.25,2.5,93.3,24.3,1.38,22.42,61330.53846
8010,83.74,1785.8,223.6,303.4,40.38,32.92,5.26,19.66,1.72,0,72,ABRAHAM LINCOLN HIGH,"LINCOLN, ABRAHAM HIGH SCHOOL",3201 RYAN AVE.,19136,NA,PHILADELPHIA,PA,2153355653,9,12,www.philasd.org/schools/lincoln,HIGH SCHOOL,15.75,1.75,87.25,11,7,473.25,266.25,107.75,48,51.25,94.15,20,2.06,5.36,72341.47143
8020,89.28,3141,164,239.6,34.74,23.94,21.72,16.88,2.7,0,60.76,NORTHEAST HIGH SCHOOL,NORTHEAST HIGH SCHOOL,1601 COTTMAN AVE.,19111,NA,PHILADELPHIA,PA,2157285018,9,12,www.nehs.phila.k12.pa.us,HIGH SCHOOL,14.25,1.25,28.75,7,5.5,667,373.75,128.5,71.5,93.25,93.45,12.94,5.18,13.74,70663.33858
